group,n,n_actual_fraud,approval_rate,false_negative_rate
Arusha,3020,245,0.604635761589404,0.5142857142857142
Dar es Salaam,2834,240,0.5924488355681017,0.42916666666666664
Eldoret,2900,235,0.5968965517241379,0.4297872340425532
Jinja,3136,287,0.5940688775510203,0.4355400696864111
Kampala,2782,228,0.5895039539899354,0.4342105263157895
Kigali,3267,289,0.5950413223140496,0.4117647058823529
Mombasa,3286,294,0.5952525867315885,0.43537414965986393
Mwanza,2941,247,0.5800748044882693,0.3684210526315789
Nairobi,3135,266,0.6022328548644338,0.49624060150375937
Nakuru,2759,219,0.5864443638999637,0.4383561643835616
