fold,model,pr_auc,roc_auc,n_train,n_test
1,logistic_regression,0.116929432150921,0.5932673117546601,19686,29657
1,random_forest,0.09724154358894056,0.5398606268495854,19686,29657
1,xgboost,0.08354388903773789,0.5057830394956916,19686,29657
2,logistic_regression,0.11840509354429697,0.5837282266664342,49666,30051
2,random_forest,0.10018534388450737,0.5445944008577135,49666,30051
2,xgboost,0.09159687789437879,0.5187648381276175,49666,30051
3,logistic_regression,0.11997373313995775,0.590522457125342,79574,30066
3,random_forest,0.1130547336237191,0.5593092672445158,79574,30066
3,xgboost,0.1056054426370103,0.5403550434998914,79574,30066
4,logistic_regression,0.11308091898022074,0.588179974129583,109545,30318
4,random_forest,0.10561513517243153,0.56883743148977,109545,30318
4,xgboost,0.10614246343906741,0.5598077750549755,109545,30318
5,logistic_regression,0.12044308816785775,0.6033232264916145,139811,30060
5,random_forest,0.1127693327618774,0.588533567116414,139811,30060
5,xgboost,0.10454064879127509,0.5591594785496896,139811,30060
