number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.09497475220507794,2026-09-07 04:10:48.842355,2026-09-07 04:10:55.058599,0 days 00:00:06.216244,0.9764896730880022,0.5884182522184034,0.14271054722440515,7,10,150,0.0030436147274028906,0.11414888103922566,0.5293621956637987,COMPLETE
1,0.100662105626532,2026-09-07 04:10:55.071133,2026-09-07 04:11:01.040857,0 days 00:00:05.969724,0.6663369877514902,2.289400408817662,0.21434637317949,5,6,200,9.578948933208272,0.008093825205344764,0.7454463228862571,COMPLETE
2,0.11905323128017774,2026-09-07 04:11:01.051421,2026-09-07 04:11:09.070313,0 days 00:00:08.018892,0.5971910001225026,2.3581300233506926,0.013946807001043338,3,12,250,0.0343137954590063,0.5235948713411219,0.5076728000821396,COMPLETE
3,0.10717274175671072,2026-09-07 04:11:09.080013,2026-09-07 04:11:14.007516,0 days 00:00:04.927503,0.6355531563822443,3.888759928108789,0.16949965480705426,3,20,250,0.007757645259080671,7.679241293675937,0.9280159266263882,COMPLETE
4,0.10274783030487193,2026-09-07 04:11:14.015149,2026-09-07 04:11:18.383703,0 days 00:00:04.368554,0.7662509625760274,2.3462934092348124,0.13632313076354238,5,10,150,0.047624253193680376,0.1945572113065805,0.7986512263105625,COMPLETE
5,0.11155452323793613,2026-09-07 04:11:18.391927,2026-09-07 04:11:31.969383,0 days 00:00:13.577456,0.5173324644309281,1.5624181269007253,0.017525583798316143,6,10,400,0.7027524500173192,2.732945683343564,0.5618821184467738,COMPLETE
6,0.09297999765735178,2026-09-07 04:11:31.977154,2026-09-07 04:11:41.557483,0 days 00:00:09.580329,0.970335055677374,4.1363319767738185,0.18017908557097317,8,6,350,0.8762493676305704,3.134112683492847,0.5415886761269403,PRUNED
7,0.09818301137732909,2026-09-07 04:11:41.564206,2026-09-07 04:11:52.061702,0 days 00:00:10.497496,0.9226150940784239,4.6796286934334885,0.04041543687478877,9,14,450,0.029533151154152157,0.013388729371139337,0.8686511464796033,PRUNED
8,0.10351048947224051,2026-09-07 04:11:52.068462,2026-09-07 04:11:59.296893,0 days 00:00:07.228431,0.6177653530048621,4.890709166862825,0.04867898084386066,8,8,500,2.0123753639300763,9.522333642065849,0.9304480576709582,PRUNED
9,0.10016291679955386,2026-09-07 04:11:59.303738,2026-09-07 04:12:05.005058,0 days 00:00:05.701320,0.5429736897073381,0.3235079866545526,0.08954524359887116,5,14,400,0.09652240280751248,1.2143602104142128,0.958078935498595,PRUNED
