threshold,total_cost,fn,fp
0.01,110064000,0,137580
0.02,110064000,0,137580
0.03,110064000,0,137580
0.04,110064000,0,137580
0.05,110064000,0,137580
0.060000000000000005,110064000,0,137580
0.06999999999999999,110064000,0,137580
0.08,110064000,0,137580
0.09,110064000,0,137580
0.09999999999999999,110064000,0,137580
0.11,110064000,0,137580
0.12,110064000,0,137580
0.13,110064000,0,137580
0.14,110064000,0,137580
0.15000000000000002,110064000,0,137580
0.16,110064000,0,137580
0.17,110064000,0,137580
0.18000000000000002,110064000,0,137580
0.19,110064000,0,137580
0.2,110064000,0,137580
0.21000000000000002,110064000,0,137580
0.22,110064000,0,137580
0.23,110064000,0,137580
0.24000000000000002,110064000,0,137580
0.25,110064000,0,137580
0.26,110064000,0,137580
0.27,110064000,0,137580
0.28,110064000,0,137580
0.29000000000000004,110064000,0,137580
0.3,110064000,0,137580
0.31,110058400,0,137573
0.32,110059600,1,137562
0.33,110036400,1,137533
0.34,110054400,8,137468
0.35000000000000003,110007200,14,137334
0.36000000000000004,110040800,42,137026
0.37,109933200,99,136179
0.38,109569200,201,134449
0.39,108856400,381,131308
0.4,107911200,712,125989
0.41000000000000003,106684400,1207,118268
0.42000000000000004,105304000,1776,109430
0.43,104114800,2417,99931
0.44,103042400,3108,89953
0.45,102234400,3784,80493
0.46,101943600,4435,71992
0.47000000000000003,101719200,5012,64499
0.48000000000000004,101741200,5509,58314
0.49,101789200,5943,52949
0.5,102453600,6362,48542
0.51,102985600,6706,44907
0.52,103566000,7015,41770
0.53,104289200,7303,39074
0.54,104932400,7581,36403
0.55,105712400,7897,33428
0.56,107036800,8302,30021
0.5700000000000001,108667200,8730,26709
0.5800000000000001,110196400,9161,23233
0.59,112113600,9636,19692
0.6,113577600,10044,16422
0.61,115062400,10444,13278
0.62,116617600,10810,10647
0.63,117900400,11117,8413
0.64,119385600,11428,6382
0.65,120596000,11678,4770
0.66,121570000,11875,3525
0.67,122548400,12047,2598
0.68,123298000,12179,1885
0.6900000000000001,123864800,12278,1356
0.7000000000000001,124179600,12337,1012
0.7100000000000001,124370800,12375,776
0.72,124563200,12406,629
0.73,124803200,12440,504
0.74,124948400,12463,398
0.75,125111200,12490,264
0.76,125316400,12519,158
0.77,125446000,12537,95
0.78,125583200,12554,54
0.79,125636400,12561,33
0.8,125682800,12567,16
0.81,125686400,12568,8
0.8200000000000001,125695600,12569,7
0.8300000000000001,125712400,12571,3
0.8400000000000001,125721600,12572,2
0.85,125721600,12572,2
0.86,125720800,12572,1
0.87,125720000,12572,0
0.88,125720000,12572,0
0.89,125720000,12572,0
0.9,125720000,12572,0
0.91,125720000,12572,0
0.92,125720000,12572,0
0.93,125720000,12572,0
0.9400000000000001,125720000,12572,0
0.9500000000000001,125720000,12572,0
0.9600000000000001,125720000,12572,0
0.97,125720000,12572,0
0.98,125720000,12572,0
0.99,125720000,12572,0
