threshold,total_cost,fn,fp
0.01,110064000,0,137580
0.02,110064000,0,137580
0.03,110064000,0,137580
0.04,110064000,0,137580
0.05,110064000,0,137580
0.060000000000000005,110064000,0,137580
0.06999999999999999,110064000,0,137580
0.08,110064000,0,137580
0.09,110064000,0,137580
0.09999999999999999,110064000,0,137580
0.11,110064000,0,137580
0.12,110064000,0,137580
0.13,110064000,0,137580
0.14,110063200,0,137579
0.15000000000000002,110061600,0,137577
0.16,110070000,1,137575
0.17,110068400,1,137573
0.18000000000000002,110077200,3,137559
0.19,110064800,4,137531
0.2,110082800,9,137491
0.21000000000000002,110070400,14,137413
0.22,110098400,26,137298
0.23,110116400,43,137108
0.24000000000000002,110154400,66,136868
0.25,110151600,93,136527
0.26,110170400,134,136038
0.27,110354800,209,135331
0.28,110411200,298,134289
0.29000000000000004,110424400,431,132643
0.3,110083600,609,129992
0.31,109717200,895,125959
0.32,109430000,1261,121025
0.33,109252800,1696,115366
0.34,109191200,2216,108789
0.35000000000000003,108940800,2830,100801
0.36000000000000004,108583600,3543,91442
0.37,108048000,4316,81110
0.38,107857600,5124,70772
0.39,107843200,5924,60754
0.4,108522400,6702,51878
0.41000000000000003,109140400,7375,44238
0.42000000000000004,109875600,7987,37507
0.43,110507200,8520,31634
0.44,111998800,9067,26661
0.45,113466800,9573,22171
0.46,114728800,10016,18211
0.47000000000000003,116227200,10452,14634
0.48000000000000004,117840800,10866,11476
0.49,119214400,11216,8818
0.5,120733600,11542,6642
0.51,121853600,11794,4892
0.52,122717200,11989,3534
0.53,123423200,12140,2529
0.54,124043600,12267,1717
0.55,124535200,12360,1169
0.56,124863600,12423,792
0.5700000000000001,125194800,12479,506
0.5800000000000001,125361200,12511,314
0.59,125511600,12537,177
0.6,125622000,12555,90
0.61,125697600,12566,47
0.62,125702400,12568,28
0.63,125723600,12571,17
0.64,125715600,12571,7
0.65,125723200,12572,4
0.66,125722400,12572,3
0.67,125720000,12572,0
0.68,125720000,12572,0
0.6900000000000001,125720000,12572,0
0.7000000000000001,125720000,12572,0
0.7100000000000001,125720000,12572,0
0.72,125720000,12572,0
0.73,125720000,12572,0
0.74,125720000,12572,0
0.75,125720000,12572,0
0.76,125720000,12572,0
0.77,125720000,12572,0
0.78,125720000,12572,0
0.79,125720000,12572,0
0.8,125720000,12572,0
0.81,125720000,12572,0
0.8200000000000001,125720000,12572,0
0.8300000000000001,125720000,12572,0
0.8400000000000001,125720000,12572,0
0.85,125720000,12572,0
0.86,125720000,12572,0
0.87,125720000,12572,0
0.88,125720000,12572,0
0.89,125720000,12572,0
0.9,125720000,12572,0
0.91,125720000,12572,0
0.92,125720000,12572,0
0.93,125720000,12572,0
0.9400000000000001,125720000,12572,0
0.9500000000000001,125720000,12572,0
0.9600000000000001,125720000,12572,0
0.97,125720000,12572,0
0.98,125720000,12572,0
0.99,125720000,12572,0
