threshold,total_cost,fn,fp
0.01,110058400,0,137573
0.02,110053200,1,137554
0.03,110077200,7,137509
0.04,110074800,15,137406
0.05,110159600,35,137262
0.060000000000000005,110305200,63,137094
0.06999999999999999,110310000,83,136850
0.08,110443600,119,136567
0.09,110491600,153,136202
0.09999999999999999,110560400,193,135788
0.11,110570400,234,135288
0.12,110586000,283,134695
0.13,110875600,365,134032
0.14,110947600,435,133247
0.15000000000000002,111005200,513,132344
0.16,111268000,622,131310
0.17,111200400,713,130088
0.18000000000000002,111092800,806,128791
0.19,111087600,929,127247
0.2,111012000,1056,125565
0.21000000000000002,111307600,1237,123672
0.22,111102400,1388,121528
0.23,111146800,1581,119171
0.24000000000000002,111241600,1812,116402
0.25,111190400,2056,113288
0.26,111153600,2324,109892
0.27,111079600,2589,106487
0.28,110884400,2831,103218
0.29000000000000004,110840400,3089,99938
0.3,111117200,3363,96859
0.31,111133600,3614,93742
0.32,110992400,3851,90603
0.33,111220400,4127,87438
0.34,111322800,4387,84316
0.35000000000000003,111426400,4656,81083
0.36000000000000004,111598400,4940,77748
0.37,111602800,5223,74216
0.38,111560800,5506,70626
0.39,111525600,5790,67032
0.4,111663600,6101,63317
0.41000000000000003,111781600,6414,59552
0.42000000000000004,112018000,6729,55910
0.43,112231200,7038,52314
0.44,112295200,7322,48844
0.45,112310400,7598,45413
0.46,112905200,7919,42144
0.47000000000000003,113468000,8238,38860
0.48000000000000004,113838400,8520,35798
0.49,114539600,8825,32862
0.5,115124000,9118,29930
0.51,115423200,9372,27129
0.52,115993200,9647,24404
0.53,116788800,9934,21811
0.54,117823600,10231,19392
0.55,118331600,10469,17052
0.56,119034400,10702,15018
0.5700000000000001,119699600,10917,13162
0.5800000000000001,120367200,11128,11359
0.59,120957200,11311,9809
0.6,121575600,11477,8507
0.61,122276400,11645,7283
0.62,122531600,11759,6177
0.63,122962000,11881,5190
0.64,123235600,11975,4357
0.65,123578800,12063,3686
0.66,123924000,12146,3080
0.67,124094800,12207,2531
0.68,124421600,12280,2027
0.6900000000000001,124563600,12327,1617
0.7000000000000001,124708800,12370,1261
0.7100000000000001,124892800,12412,966
0.72,125046400,12448,708
0.73,125345200,12491,544
0.74,125481600,12516,402
0.75,125548000,12532,285
0.76,125624000,12546,205
0.77,125645200,12553,144
0.78,125658400,12558,98
0.79,125691200,12564,64
0.8,125736000,12570,45
0.81,125726400,12570,33
0.8200000000000001,125719200,12570,24
0.8300000000000001,125732000,12572,15
0.8400000000000001,125726400,12572,8
0.85,125724000,12572,5
0.86,125721600,12572,2
0.87,125720800,12572,1
0.88,125720000,12572,0
0.89,125720000,12572,0
0.9,125720000,12572,0
0.91,125720000,12572,0
0.92,125720000,12572,0
0.93,125720000,12572,0
0.9400000000000001,125720000,12572,0
0.9500000000000001,125720000,12572,0
0.9600000000000001,125720000,12572,0
0.97,125720000,12572,0
0.98,125720000,12572,0
0.99,125720000,12572,0
